name,version,ecosystem,vendor
panos-release,8.3,,
parted,3.2,,
passwd,0.8,,
pciutils,3.6.4,,
pciutils-libs,3.6.4,,
pcre,8.42,,
pcre2,10.32,,
perf,4.18.0,,
phantomjs,1.9.8,,
php,7.4.33,,
php-bcmath,7.4.33,,
php-cli,7.4.33,,
php-common,7.4.33,,
php-embedded,7.4.33,,
php-fpm,7.4.33,,
php-gmp,7.4.33,,
php-json,7.4.33,,
php-mbstring,7.4.33,,
php-mysqlnd,7.4.33,,
php-pdo,7.4.33,,
php-pecl-mongodb,1.9.1,,
php-xml,7.4.33,,
pinentry,1.1.0,,
pkgconf,1.4.2,,
pkgconf-m4,1.4.2,,
pkgconf-pkg-config,1.4.2,,
platform-python,3.6.8,,
platform-python-pip,9.0.3,PyPI,
platform-python-setuptools,39.2.0,PyPI,
policycoreutils,2.9,,
popt,1.16,,
pprof,2.4,,
procps-ng,3.3.15,,
protobuf,3.5.0,Go,
psmisc,23.1,,
pth,2.0.7,,
publicsuffix-list-dafsa,20180723,,
pybloomfiltermmap3,0.4.15,,
pycrypto,2.6.1,,
python-collectd-cloudwatch,0.0.2,,
python-libevent,0.9.2,,
python3-asn1crypto,0.24.0,,
python3-audit,3,,
python3-bind,9.11.36,,
python3-bloom,0.10.0,,
python3-boto3,1.15.15,PyPI,
python3-botocore,1.18.15,PyPI,
python3-bson,3.7.0,,
python3-catkin_pkg,0.4.23,,
python3-cffi,1.11.5,,
python3-chardet,3.0.4,,
python3-cryptography,3.2.1,,
python3-dateutil,2.6.1,,
python3-distro,1.4.0,,
python3-docutils,0.14,,
python3-empy,3.3.4,,
python3-fasteners,0.14.1,,
python3-httplib2,0.10.3,,
python3-idna,2.5,PyPI,
python3-jmespath,0.9.0,PyPI,
python3-libs,3.6.8,,
python3-libxml2,2.9.7,,
python3-m2crypto,0.35.2,,
python3-oauth2client,4.1.3,,
python3-pexpect,4.3.1,PyPI,
python3-pillow,5.1.1,PyPI,
python3-pip,9.0.3,PyPI,
python3-pip-wheel,9.0.3,PyPI,
python3-ply,3.9,,
python3-psutil,5.6.4,PyPI,
python3-ptyprocess,0.5.2,,
python3-pyasn1,0.3.7,PyPI,
python3-pyasn1-modules,0.3.7,PyPI,
python3-pycparser,2.14,PyPI,
python3-pycurl,7.43.0.2,,
python3-pymongo,3.7.0,PyPI,
python3-pyparsing,2.1.10,PyPI,
python3-pypdf2,1.26.0,PyPI,
python3-pytz,2019.3,PyPI,
